POA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2612,2154,2082,4237,202,164,369,1059,913,1971,451,372,825,534,334,871,157,122,286,145,98,245,57,47,103,52,41,93,1449,1283,2731,0,0,4,3908,3212,7125,1199,1091,2283,68,54,124,5378,4527,9901,857,679,1533,8385,7287,15671
POA2614,4885,5328,10215,250,233,490,471,501,973,106,115,224,123,116,233,34,33,62,40,38,76,10,16,21,15,23,42,1719,1676,3399,5,3,9,2522,2521,5039,691,731,1420,51,42,91,3512,3533,7041,462,464,925,8860,9323,18181
POA2615,12138,12710,24842,478,498,978,1053,1158,2217,154,171,328,217,265,480,42,41,79,60,56,117,14,26,40,40,41,83,3806,3890,7695,0,6,9,5394,5646,11039,775,834,1607,102,80,187,6755,7065,13817,955,1031,1991,19849,20803,40652
POA2617,6844,7171,14015,391,338,727,1402,1410,2807,275,273,549,272,276,551,105,82,182,105,111,212,41,37,71,46,54,105,2749,2518,5274,0,0,3,4999,4758,9754,1840,1981,3821,111,92,203,7338,7175,14506,1061,1025,2087,15244,15365,30605
POA2618,446,459,903,14,16,31,31,33,65,0,0,3,7,10,17,0,0,0,3,4,12,0,0,0,3,0,3,96,109,204,0,0,0,141,161,305,20,12,31,4,0,4,178,185,363,50,59,115,675,703,1381
POA2900,274,293,566,13,17,34,85,77,166,32,20,52,19,18,41,0,7,6,5,3,9,5,3,7,3,0,7,256,280,534,0,0,0,409,405,815,116,137,254,11,8,19,555,569,1119,58,64,117,883,924,1805
POA2902,4446,4602,9043,318,311,633,265,271,536,44,47,95,47,58,104,13,17,31,7,11,23,16,14,28,12,16,25,1019,1125,2147,0,0,0,1428,1553,2983,185,205,393,45,32,72,1979,2106,4083,357,392,751,6782,7101,13884
POA2903,2792,2839,5632,92,85,183,159,188,351,29,41,66,50,53,99,11,16,24,20,13,37,5,9,13,3,6,7,728,761,1491,0,0,0,1009,1085,2091,125,127,256,21,12,38,1249,1308,2564,194,213,405,4233,4364,8602
POA2904,3863,4108,7976,89,101,195,235,282,510,60,47,104,79,75,155,26,26,46,6,11,18,0,5,7,13,13,25,983,1046,2037,0,0,0,1401,1503,2908,158,183,344,16,17,29,1667,1812,3476,266,390,652,5797,6303,12103
POA2905,8142,8486,16623,313,282,590,656,685,1343,92,90,181,152,175,333,34,39,75,18,26,45,15,19,35,26,34,57,2572,2608,5177,0,0,0,3573,3682,7249,335,362,701,71,53,121,4288,4382,8668,643,654,1295,13066,13514,26583
POA2906,4935,5310,10241,236,266,502,360,441,802,69,74,151,96,103,197,17,25,45,22,26,49,3,12,12,19,21,42,1564,1636,3200,0,0,0,2153,2331,4482,143,170,308,36,37,72,2570,2799,5369,378,371,747,7884,8473,16364
POA2911,180,183,363,41,43,82,225,231,453,48,59,104,54,67,125,23,26,56,19,23,45,0,4,4,14,6,21,1042,1048,2094,0,0,0,1433,1462,2891,176,196,376,23,19,43,1671,1721,3393,75,78,152,1933,1980,3909
POA2912,957,1037,1994,85,85,166,293,263,556,74,72,147,79,76,149,22,23,45,39,34,76,12,12,15,9,11,18,565,561,1131,0,0,0,1094,1056,2143,460,497,955,24,10,35,1658,1641,3302,193,180,370,2807,2857,5662
POA2913,6738,6971,13702,577,598,1171,1329,1449,2778,264,262,527,314,343,661,90,92,183,80,74,159,25,31,58,73,71,140,4121,4214,8335,0,0,0,6300,6539,12834,1143,1307,2447,122,89,211,8136,8532,16672,808,822,1636,15684,16326,32012
POA2914,3576,3723,7301,350,349,703,1144,1170,2316,214,209,416,321,298,625,103,111,211,102,97,205,22,24,47,80,83,164,3618,3642,7256,8,4,8,5608,5640,11242,1030,1193,2226,83,70,154,7072,7250,14323,451,430,883,11101,11406,22507
