POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2612,34,382,550,104,68,73,82,40,15,1356,7,181,658,102,88,83,63,32,10,1223,0,59,634,189,133,86,70,22,17,1212,0,9,337,146,122,74,40,11,12,755,4,10,471,427,344,220,72,22,14,1585,0,7,78,215,271,211,57,13,6,862,83,273,476,226,187,126,101,72,32,1571,1039,2863,4543,1911,1609,1282,895,443,230,14807
POA2614,5,104,301,224,213,212,193,102,37,1387,0,50,309,249,181,175,144,62,24,1192,0,15,256,290,254,175,116,48,5,1150,0,0,155,258,218,128,79,23,9,881,0,5,197,602,574,293,105,28,10,1816,6,6,34,178,277,155,56,18,6,736,58,67,142,130,122,81,130,137,104,963,997,1282,2509,2721,2505,1960,1998,1228,538,15737
POA2615,12,267,978,815,579,520,368,86,23,3654,0,136,941,725,572,462,227,28,6,3097,0,43,739,877,643,377,173,28,3,2878,0,11,437,649,411,269,84,11,0,1874,0,5,498,1079,893,508,92,11,4,3095,0,3,89,225,224,144,39,5,0,734,170,172,363,338,256,264,239,127,60,1986,2563,2606,6658,7009,5337,4701,3876,1439,420,34605
POA2617,15,342,820,432,311,311,237,70,21,2558,0,170,887,408,280,305,157,30,11,2252,0,62,676,452,344,294,134,27,6,1991,3,10,373,413,279,216,62,12,6,1373,0,9,498,753,673,437,101,14,10,2503,0,8,83,249,248,185,55,12,8,851,148,348,458,300,232,249,197,110,148,2188,1889,4221,6473,4436,3343,3438,2447,989,446,27686
POA2618,0,8,12,25,17,23,15,3,0,105,0,0,9,20,14,10,10,0,0,69,0,0,11,12,22,19,7,3,0,76,0,0,3,13,20,15,0,3,0,58,0,0,4,29,26,15,10,3,0,90,0,0,3,22,36,25,17,0,0,100,23,14,13,22,21,18,10,11,0,124,123,81,104,206,226,193,175,70,7,1177
POA2900,0,21,59,26,21,17,20,3,3,172,0,21,62,24,32,26,8,3,3,166,0,4,60,29,16,22,0,0,0,132,0,0,26,19,12,13,4,0,0,85,0,0,43,56,43,31,7,3,0,173,0,0,23,17,12,21,5,0,0,75,3,8,39,19,15,15,13,4,0,115,69,140,468,267,214,231,199,85,25,1702
POA2902,7,64,212,208,178,250,165,29,5,1108,0,40,242,203,194,179,107,20,6,989,0,7,186,244,208,148,78,7,0,870,0,9,114,159,154,106,49,4,0,586,0,3,144,372,386,223,63,7,0,1191,0,0,18,113,159,106,30,3,0,426,70,56,111,129,100,109,115,56,14,751,942,780,1695,2092,2001,2040,1716,551,119,11933
POA2903,3,56,140,119,125,140,92,25,4,698,3,34,149,128,110,126,61,10,3,612,0,10,106,147,134,133,50,7,0,585,0,9,76,107,108,96,17,3,0,416,0,0,83,228,218,169,37,0,0,738,0,0,17,47,81,73,17,0,0,240,21,25,54,60,66,79,60,17,10,392,571,529,1083,1269,1246,1415,920,290,84,7406
POA2904,3,90,196,153,147,236,120,22,13,977,0,51,212,148,173,223,74,15,6,902,3,11,172,186,203,198,57,9,7,844,0,4,106,123,178,152,38,0,4,606,0,7,128,330,390,319,62,3,0,1244,0,0,15,109,164,148,13,7,3,470,42,32,48,64,92,89,92,90,138,687,839,763,1415,1543,1807,2127,1204,555,329,10582
POA2905,14,252,629,433,449,433,129,30,16,2383,6,99,629,436,431,369,89,20,3,2084,0,31,496,473,518,379,46,4,5,1949,0,14,231,315,345,253,38,6,0,1193,0,8,265,581,723,427,40,9,5,2062,0,0,45,126,197,144,19,0,0,532,130,116,221,165,218,195,115,76,32,1268,2016,2022,4248,3795,4227,3820,1729,744,238,22832
POA2906,10,158,385,261,290,227,68,14,3,1422,4,75,372,316,342,176,49,7,0,1339,0,32,283,290,397,191,21,0,3,1223,0,5,124,195,230,110,7,0,0,679,0,6,153,414,611,225,17,0,0,1432,0,0,27,79,159,62,13,0,0,337,90,73,117,129,180,87,66,39,12,785,1445,1321,2364,2421,3048,1866,939,471,131,14005
POA2911,8,51,166,83,24,28,19,3,0,380,0,24,182,78,32,19,5,3,0,341,3,7,177,111,53,15,3,0,0,370,0,5,92,98,32,15,3,0,0,245,0,0,134,199,97,41,0,0,0,478,0,0,38,77,41,10,3,0,0,164,3,13,70,47,8,11,3,0,0,156,172,327,1202,869,391,237,117,53,9,3379
POA2912,6,68,179,97,73,24,9,3,0,466,3,40,156,89,59,28,5,4,0,382,0,9,103,103,78,36,3,0,0,336,0,3,51,93,58,29,0,0,0,239,0,3,86,208,150,44,7,0,0,513,0,0,25,51,43,23,0,3,0,147,22,59,115,70,43,34,11,3,0,361,378,677,1337,1073,719,450,202,73,20,4933
POA2913,14,289,947,590,411,269,129,32,3,2677,0,132,1014,618,435,240,89,12,4,2546,3,51,823,650,502,242,68,13,0,2344,0,10,477,514,331,184,32,0,0,1548,0,13,543,991,909,388,62,6,3,2912,0,6,108,333,369,183,28,8,0,1043,140,161,422,301,261,156,89,51,15,1590,2254,2496,6952,5750,4543,2921,1687,665,138,27399
POA2914,11,170,596,470,280,124,45,5,3,1702,0,79,682,513,232,109,27,3,0,1651,0,23,538,584,327,119,18,6,0,1611,0,10,314,483,259,79,17,3,0,1171,0,8,443,1130,657,189,13,0,0,2434,0,6,112,377,254,56,3,0,0,803,75,82,188,227,135,72,34,17,7,844,1488,1530,4612,5273,2887,1352,630,237,43,18048
