POA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA2900,4,5,8,9,33,44,22,20,0,137,17,14,16,20,75,149,42,32,5,372,3,3,6,14,24,19,10,16,0,99,3,13,10,22,13,20,8,5,0,98,10,8,19,16,57,43,23,16,0,189,0,12,6,0,19,6,4,3,0,60,0,0,0,3,8,9,3,5,0,26,0,6,9,8,3,7,0,0,0,42,0,0,0,0,9,0,3,0,3,15,36,68,77,92,236,310,116,97,15,1051
POA2902,42,25,49,76,198,233,184,222,3,1027,96,128,168,204,458,435,198,219,13,1912,22,43,39,73,178,218,85,137,15,801,29,155,128,147,137,76,61,67,7,806,74,98,127,159,419,220,126,97,12,1328,12,172,67,72,61,30,23,41,6,494,4,14,17,19,39,52,24,34,4,214,16,100,49,59,66,71,14,23,12,403,13,16,12,23,38,41,21,21,28,207,308,747,649,828,1589,1378,741,853,105,7200
POA2903,28,27,28,42,116,152,106,136,4,631,50,85,106,135,270,275,128,147,18,1213,14,27,29,31,116,122,50,80,8,484,30,90,78,82,93,52,38,48,10,510,43,65,66,117,305,172,89,58,9,918,11,117,60,33,47,39,22,23,3,354,5,14,9,19,29,29,15,40,0,160,7,78,32,25,42,28,13,19,12,254,7,8,4,4,34,19,7,12,27,110,201,517,416,474,1049,889,456,550,78,4641
POA2904,46,29,48,66,186,272,184,286,7,1127,89,100,129,184,394,448,214,212,13,1783,30,40,29,47,150,208,93,106,7,701,31,164,91,99,121,75,50,41,11,694,71,96,110,150,414,259,117,89,14,1314,18,157,59,58,62,40,23,22,3,439,8,20,21,10,22,33,21,37,3,168,17,86,36,36,38,41,21,22,5,310,13,9,3,5,36,39,14,15,19,152,316,693,526,657,1426,1420,729,841,85,6695
POA2905,85,50,62,121,434,463,327,449,18,2007,178,147,188,298,834,735,381,346,20,3116,55,82,85,148,508,640,250,349,32,2140,62,313,236,266,347,212,123,151,27,1739,147,197,234,369,1143,626,275,207,24,3212,41,378,167,162,188,103,75,69,6,1192,31,48,30,62,112,145,104,161,15,697,43,209,111,107,186,184,86,93,13,1029,31,10,18,32,113,89,28,35,69,431,683,1426,1127,1555,3856,3199,1640,1864,225,15571
POA2906,52,25,47,70,286,322,267,263,4,1342,85,82,100,184,511,456,231,235,12,1902,42,52,42,75,291,362,185,196,13,1258,39,233,139,158,205,122,79,84,12,1076,118,107,131,228,750,441,175,113,15,2086,27,283,124,105,137,74,38,52,3,842,11,32,15,24,66,80,54,85,10,379,16,130,74,78,99,85,35,52,6,555,18,8,9,16,82,63,21,22,70,313,401,956,687,934,2425,2002,1086,1102,155,9756
POA2911,8,8,15,34,94,105,73,89,3,426,30,26,46,61,276,273,86,106,11,920,3,12,6,17,59,53,33,41,0,221,13,28,23,41,61,42,22,30,0,256,28,23,30,51,141,81,38,30,3,426,8,37,22,18,29,17,8,11,0,139,0,4,3,0,4,5,4,7,0,33,0,20,8,16,17,4,4,10,0,88,6,0,3,3,19,15,9,6,12,71,98,168,158,244,693,591,271,323,30,2576
POA2912,15,9,11,24,107,128,80,122,0,500,39,43,33,65,275,250,73,92,3,877,8,28,15,21,108,97,40,53,6,380,18,76,49,61,85,47,26,30,4,392,30,40,32,45,182,110,55,41,0,539,5,66,47,40,56,18,8,15,5,270,3,5,8,3,6,12,3,11,0,61,12,45,43,28,34,28,10,16,3,227,6,4,6,5,30,18,8,4,10,89,126,305,243,307,892,722,307,378,43,3322
POA2913,111,65,97,155,589,695,471,686,27,2897,232,282,326,394,1508,1350,530,569,34,5226,38,114,128,131,498,557,256,354,32,2108,98,405,279,317,435,265,137,155,27,2116,157,194,293,366,1248,683,289,246,34,3516,51,476,205,208,236,155,72,105,14,1513,9,38,30,39,80,76,57,81,13,422,32,226,142,127,196,129,71,84,28,1044,24,21,24,37,104,115,42,40,72,478,760,1820,1519,1772,4899,4029,1932,2314,277,19323
POA2914,74,33,55,130,420,573,346,489,11,2133,171,185,195,315,1155,1194,399,389,38,4046,27,50,57,77,344,360,160,194,11,1281,49,277,205,196,299,228,114,147,28,1535,99,122,175,236,791,500,202,155,18,2289,38,295,153,117,182,89,39,73,11,997,3,26,13,27,45,55,43,56,3,269,19,101,87,81,95,79,37,58,8,567,21,19,14,14,94,77,24,26,45,334,494,1104,948,1193,3426,3158,1354,1592,177,13453
