POA_CODE_2016,Suburb,Population,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85_ov_P
POA2607,TORRENS,3403.5,176.25,420.75,224.75,198.75,357.25,436.75,488.5,407.5,375.75,226.75,92.25
POA2607,ISAACS,3403.5,176.25,420.75,224.75,198.75,357.25,436.75,488.5,407.5,375.75,226.75,92.25
POA2607,MAWSON,3403.5,176.25,420.75,224.75,198.75,357.25,436.75,488.5,407.5,375.75,226.75,92.25
POA2607,PEARCE,3403.5,176.25,420.75,224.75,198.75,357.25,436.75,488.5,407.5,375.75,226.75,92.25
POA2609,PIALLIGO,221.75,10.75,11.5,9,12.75,26.75,26.5,41,35.75,32.5,12.25,3.5
POA2609,FYSHWICK,221.75,10.75,11.5,9,12.75,26.75,26.5,41,35.75,32.5,12.25,3.5
POA2609,CANBERRA AIRPORT,221.75,10.75,11.5,9,12.75,26.75,26.5,41,35.75,32.5,12.25,3.5
POA2609,SYMONSTON,221.75,10.75,11.5,9,12.75,26.75,26.5,41,35.75,32.5,12.25,3.5
POA2611,URIARRA VILLAGE,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,DENMAN PROSPECT,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,WRIGHT,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,DUFFY,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,COOMBS,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,RIVETT,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,STIRLING,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,CHAPMAN,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,HOLDER,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,WARAMANGA,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,WESTON,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2611,FISHER,2334.833333,168,309.5,117,111.5833333,322.5833333,362.5833333,298.3333333,232.3333333,238.25,125.0833333,49.25
POA2612,TURNER,4046,129.25,215.5,259.75,715.75,1135.75,477.75,402.25,320.5,223.75,110.75,57.5
POA2612,BRADDON,4046,129.25,215.5,259.75,715.75,1135.75,477.75,402.25,320.5,223.75,110.75,57.5
POA2612,REID,4046,129.25,215.5,259.75,715.75,1135.75,477.75,402.25,320.5,223.75,110.75,57.5
POA2612,CAMPBELL,4046,129.25,215.5,259.75,715.75,1135.75,477.75,402.25,320.5,223.75,110.75,57.5
POA2614,ARANDA,3231.666667,200.5,408.1666667,166.1666667,213.6666667,418.1666667,453.5,417.5,326.6666667,333,204.6666667,89.66666667
POA2614,WEETANGERA,3231.666667,200.5,408.1666667,166.1666667,213.6666667,418.1666667,453.5,417.5,326.6666667,333,204.6666667,89.66666667
